item_language,set_name,item_name,item_type,item_statement,item_code,item_url,item_kcs,python_parser_kcs
PYTHON,objects_classes_account,py_account1,PCEX Set,"Construct a class that represents a basic bank account. This class should contain data representing the name of the account’s owner, the account number, and the account’s current balance; all of which could be accessed or changed only through the getter and setter methods. An instance of the class should be created by specifying three parameters that are used to initialize the instance (i.e., object) data. The other methods of this class should perform various services on the account (making deposits, withdrawals, adding interest to the account). These methods should examine the data passed into them to make sure the requested transaction is valid.","#Step 1: Define the class
class Account1 :
    #Step 1.1: Initialize the account with the specified values
    def __init__(self, owner, account, initial) :
        self.__acct_name = owner
        self.__acct_number = account
        self.__balance = initial
    #Step 1.2: Define a method to perform the deposit transaction
    def deposit(self, amount) :
        if (amount > 0) :
            self.__balance = self.__balance + amount
        return self.__balance
    #Step 1.3: Define a method to perform a withdraw transaction
    def withdraw(self, amount, fee) :
        if (amount > 0 and fee >= 0 and amount+fee < self.__balance) :
            self.__balance = self.__balance - amount - fee
        return self.__balance
    #Step 1.4: Define a method to add interest to the account
    def add_interest(self) :
        self.__balance += (self.__balance * 0.035)
        return self.__balance
    #Step 1.5: Define the methods to get the  state of the account 
    def get_name(self) :
        return self.__acct_name
    def get_balance(self) :
        return self.__balance
    def get_acct_number(self) :
        return self.__acct_number
#Step 2: Test the class
acct1 = Account1(""Tina Murphy"", 72354, 25.59)
acct2 = Account1(""Angelica Adams"", 69713, 500.00)
acct3 = Account1(""Edward Demsey"", 93757, 769.32)
acct1.deposit(44.10)  
adams_balance = acct2.deposit(75.25)
print(""{:s}'s balance after deposit: {:.2f}"".format(acct2.get_name(), adams_balance))
print(""{:s}'s balance after deposit: {:.2f}"".format(acct2.get_name(), acct2.withdraw (480, 1.50)))
acct3.withdraw(-100.00, 1.50)  
acct2.add_interest()
print(""{:s}'s balance after adding interest: {:.2f}"".format(acct2.get_name(), acct2.get_balance()))",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=objects_classes_account,"CallingObjectMethod,Subtraction,Printing,CallingLibraryFunction,ChangingValueVariable,CreatingObject,IfChecking,DefiningClass,Multiplication,NestedFunctionCall,DefiningObjectMethod,AssigningValueVariable,FormattingString,Addition,BooleanEvaluating","int,__acct_name,deposit,__balance,str-or-num-add-op,num-mul-op,str-format-func,return,str,add_interest,__acct_number,variable-usage,class-obj-instantiate,get_balance,conditional-and,compare-lessthan,classmethod-or-function-call,variable-decl-or-assign,print-to-user,compare-greaterthan-equals,unary-sub-op,if,numeric-or-string-or-collection-assignment,get_name,classdef,functiondef,compare-greaterthan,num-sub-op,float,assignment-with-add,withdraw"
PYTHON,objects_classes_account,py_account2,PCEX Challenge,"Construct a class that represents a basic bank account. This class should contain data representing the name of the account’s owner, the account number, and the account’s current balance; all of which could be accessed or changed only through the getter and setter methods. An instance of the class should be created by specifying three parameters that are used to initialize the instance (i.e., object) data. The other methods of this class should:\n - provide a one-line description of the account, and\n - perform various services on the account (making deposits, withdrawals, adding interest to the account). These methods should examine the data passed into them to make sure the requested transaction is valid.","#Step 1: Define the class
class Account2 :
    #Step 1.1: Initialize the account with the specified values
    def __init__(self, owner, account, initial) :
        self.__acct_name = owner
        self.__acct_number = account
        self.__balance = initial
    #Step 1.2: Define a method to provide a one-line description of the account
    def __str__(self) :
        return ""{:d}{:>20s}{:>10.2f}"".format(self.__acct_number, self.__acct_name, self.__balance)
    #Step 1.3: Define a method to perform the deposit transaction
    def deposit(self, amount) :
        if (amount > 0) :
            self.__balance = self.__balance + amount
        return self.__balance
    #Step 1.4: Define a method to perform a withdraw transaction
    def withdraw(self, amount, fee) :
        if (amount > 0 and fee >= 0 and amount+fee < self.__balance) :
            self.__balance = self.__balance - amount - fee
        return self.__balance
    #Step 1.5: Define a method to add interest to the account
    def add_interest(self) :
        self.__balance += (self.__balance * 0.035)
        return self.__balance
    #Step 1.6: Define the methods to get the  state of the account 
    def get_name(self) :
        return self.__acct_name
    def get_balance(self) :
        return self.__balance
    def get_acct_number(self) :
        return self.__acct_number
#Step 2: Test the class
acct1 = Account2(""Tina Murphy"", 72354, 25.59)
acct2 = Account2(""Angelica Adams"", 69713, 500.00)
acct3 = Account2(""Edward Demsey"", 93757, 769.32)
print(acct1)
print(acct2)
print(acct3)",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=objects_classes_account&ch=py_account2,"CallingObjectMethod,Subtraction,Printing,CallingLibraryFunction,CreatingObject,CreatingString,IfChecking,DefiningClass,Multiplication,DefiningObjectMethod,AssigningValueVariable,FormattingString,Addition,BooleanEvaluating","int,__acct_name,__balance,str-or-num-add-op,num-mul-op,str-format-func,return,str,__acct_number,variable-usage,class-obj-instantiate,conditional-and,compare-lessthan,variable-decl-or-assign,print-to-user,compare-greaterthan-equals,if,numeric-or-string-or-collection-assignment,classdef,functiondef,compare-greaterthan,num-sub-op,float,assignment-with-add"
PYTHON,objects_classes_loan,py_loan1,PCEX Set,"Construct a class that represents a loan. This class should contain data representing the interest rate, loan amount, and the length of loan period (in years); all of which could be accessed or changed only through the getter and setter methods. An instance of the class should be created by specifying annual interest rate, length of loan period, and loan amount.\nThe other method of the this class should calculate the amount of monthly payments on the loan.","#Step 1: Define the class
class Loan1 :
    #Step 1.1: Initialize the loan with the specified values 
    def __init__(self, annual_interest_rate, number_of_years, loan_amount) :
        self.__annual_interest_rate = annual_interest_rate
        self.__number_of_years = number_of_years
        self.__loan_amount = loan_amount
    #Step 1.2: Define the method that calculates the amount of monthly payments on the loan
    def get_monthly_payment(self) :
        monthly_interest_rate = self.__annual_interest_rate / 12
        monthly_payment = self.__loan_amount * monthly_interest_rate / (1 -
                (1 / (1 + monthly_interest_rate) ** (self.__number_of_years * 12) ))
        return monthly_payment    
    #Step 1.3: Define the methods to get/set the properties of the loan
    def get_annual_interest_rate(self) :
        return self.__annual_interest_rate
    def set_annual_interest_rate(self, annual_interest_rate) :
        self.__annual_interest_rate = annual_interest_rate
    def get_number_of_years(self) :
        return self.__number_of_years
    def set_number_of_years(self, number_of_years) :
        self.__number_of_years = number_of_years
    def get_loan_amount(self) :
        return self.__loan_amount
    def set_loan_amount(self, loan_amount) :
        self.__loan_amount = loan_amount
#Step 2: Test the class
annual_interest_rate = float(input(""Enter the annual interest rate: ""))
number_of_years = int(input(""Enter the number of years for the loan period: ""))
loan_amount = (float(input(""Enter the loan amount: "")))
loan1 = Loan1(annual_interest_rate, number_of_years, loan_amount)
print(""The monthly payment for the loan is: {:.2f} "".format(loan1.get_monthly_payment()))",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=objects_classes_loan,"CallingObjectMethod,Power,Subtraction,Printing,CallingLibraryFunction,CreatingObject,CreatingString,DefiningClass,Division,TransformingToIntType,Multiplication,NestedFunctionCall,DefiningObjectMethod,AssigningValueVariable,FormattingString,HandlingInput,Addition,TransformingToFloatType","int,typecast-int,str-or-num-add-op,num-div-op,pow,num-mul-op,str-format-func,return,__annual_interest_rate,str,get-user-input,variable-usage,class-obj-instantiate,classmethod-or-function-call,variable-decl-or-assign,print-to-user,get_monthly_payment,numeric-or-string-or-collection-assignment,__number_of_years,classdef,typecast-float,functiondef,__loan_amount,num-sub-op"
PYTHON,objects_classes_loan,py_loan2,PCEX Challenge,"Construct a class that represents a loan. This class should contain data representing the interest rate, loan amount, and the length of loan period (in years); all of which could be accessed or changed only through the getter and setter methods. An instance of the class should be created by specifying annual interest rate, length of loan period, and loan amount.\nThe other methods of the this class should calculate the amount of monthly payments on the loan as well as the total payment.","#Step 1: Define the class
class Loan2 :
    #Step 1.1: Initialize the loan with the specified values 
    def __init__(self, annual_interest_rate, number_of_years, loan_amount) :
        self.__annual_interest_rate = annual_interest_rate
        self.__number_of_years = number_of_years
        self.__loan_amount = loan_amount
    #Step 1.2: Define the method that calculates the amount of monthly payments on the loan
    def get_monthly_payment(self) :
        monthly_interest_rate = self.__annual_interest_rate / 12
        monthly_payment = self.__loan_amount * monthly_interest_rate / (1 -
                (1 / (1 + monthly_interest_rate) ** (self.__number_of_years * 12) ))
        return monthly_payment    
    #Step 1.3: Define the method that calculates the amount of total payments on the loan
    def get_total_payment(self) :
        total_payment = self.get_monthly_payment() * self.__number_of_years * 12
        return total_payment
    #Step 1.4: Define the methods to get/set the properties of the loan
    def get_annual_interest_rate(self) :
        return self.__annual_interest_rate
    def set_annual_interest_rate(self, annual_interest_rate) :
        self.__annual_interest_rate = annual_interest_rate
    def get_number_of_years(self) :
        return self.__number_of_years
    def set_number_of_years(self, number_of_years) :
        self.__number_of_years = number_of_years
    def get_loan_amount(self) :
        return self.__loan_amount
    def set_loan_amount(self, loan_amount) :
        self.__loan_amount = loan_amount
#Step 2: Test the class
annual_interest_rate = float(input(""Enter the annual interest rate: ""))
number_of_years = int(input(""Enter the number of years for the loan period: ""))
loan_amount = (float(input(""Enter the loan amount: "")))
loan2 = Loan2(annual_interest_rate, number_of_years, loan_amount)
print(""The monthly payment for the loan is: {:.2f} "".format(loan2.get_monthly_payment()))
print(""The total payment for the loan is: {:.2f} "".format(loan2.get_total_payment()))",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=objects_classes_loan&ch=py_loan2,"CallingObjectMethod,Power,Printing,CallingLibraryFunction,CreatingObject,DefiningClass,Division,TransformingToIntType,Multiplication,DefiningObjectMethod,AssigningValueVariable,FormattingString,HandlingInput,Addition,TransformingToFloatType","int,typecast-int,str-or-num-add-op,num-div-op,pow,num-mul-op,str-format-func,return,__annual_interest_rate,str,get-user-input,variable-usage,class-obj-instantiate,classmethod-or-function-call,variable-decl-or-assign,print-to-user,get_monthly_payment,numeric-or-string-or-collection-assignment,__number_of_years,classdef,typecast-float,get_total_payment,functiondef,__loan_amount,num-sub-op"
PYTHON,objects_classes_point,py_point1,PCEX Set,"Construct a class that represents a point in the Euclidean plane. The class should contain data that represents the point’s integer coordinates (x,y). The point's coordinates could be accessed or changed only through the getter and setter methods. The class should also include a method to translate the point, i.e., shift the point's location by the specified amount.","#Step 1: Define the class
class Point1 :
    #Step 1.1: Declare the method to shift the location of the point by the given amount
    def translate(self, dx, dy) :
        self.__x += dx
        self.__y += dy
    #Step 1.2: Define the setter and getter methods for the x-coordinate of the point
    def set_x(self, new_x) :
        self.__x = new_x
    def get_x(self) :
        return self.__x
    #Step 1.3: Define the setter and getter methods for the y-coordinate of the point
    def set_y(self, new_y) :
        self.__y = new_y
    def get_y(self) :
        return self.__y
#Step 2: Test the class
p1 = Point1()
p1.set_x(7)
p1.set_y(2)
p1.translate(11, 6)
print(""p1 coordinates: ("" + str(p1.get_x()) + "", "" + str(p1.get_y()) + "")"") ",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=objects_classes_point,"CallingObjectMethod,Printing,CallingLibraryFunction,ChangingValueVariable,CreatingObject,CreatingString,Concatenation,DefiningClass,TransformingToStringType,NestedFunctionCall,DefiningObjectMethod,AssigningValueVariable,Addition","int,set_x,str-or-num-add-op,return,translate,__y,str,get_x,typecast-str,variable-usage,class-obj-instantiate,classmethod-or-function-call,variable-decl-or-assign,print-to-user,get_y,numeric-or-string-or-collection-assignment,set_y,classdef,functiondef,__x,assignment-with-add"
PYTHON,objects_classes_point,py_point2,PCEX Challenge,"Construct a class that represents a point in the Euclidean plane. The class should contain data that represents the point’s integer coordinates (x,y). The point's coordinates could be accessed or changed only through the getter and setter methods. The class should also include a method to calculate and return the point's distance from the origin (0,0).","#Step 1: Define the class
class Point2 :
    #Step 1.1: Declare the method to calculate and return the point's distance from the origin
    def distance_from_origin(self) :
        return (self.__x * self.__x + self.__y * self.__y) ** 0.5
    #Step 1.2: Define the setter and getter methods for the x-coordinate of the point
    def set_x(self, new_x) :
        self.__x = new_x
    def get_x(self) :
        return self.__x
    #Step 1.3: Define the setter and getter methods for the y-coordinate of the point
    def set_y(self, new_y) :
        self.__y = new_y
    def get_y(self) :
        return self.__y
#Step 2: Test the class
p2 = Point2()
p2.set_x(7)
p2.set_y(2)
print(""p2 coordinates: ("" + str(p2.get_x()) + "", "" + str(p2.get_y()) + "")"") 
print(""Distance of p2 from origin = "" + str(p2.distance_from_origin()))",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=objects_classes_point&ch=py_point2,"CallingObjectMethod,Power,Printing,CallingLibraryFunction,CreatingObject,CreatingString,Concatenation,DefiningClass,TransformingToStringType,Multiplication,NestedFunctionCall,DefiningObjectMethod,AssigningValueVariable,Addition","distance_from_origin,int,set_x,str-or-num-add-op,pow,num-mul-op,return,__y,str,get_x,typecast-str,variable-usage,class-obj-instantiate,classmethod-or-function-call,variable-decl-or-assign,print-to-user,get_y,numeric-or-string-or-collection-assignment,set_y,classdef,functiondef,__x,float"
PYTHON,objects_classes_tv,py_tv1,PCEX Set,"Construct a class that represents a TV. The class should contain data that represents the TV's state (power on or off, current channel). The state of the TV could be accessed or changed only through the getter and setter methods. The class should also include methods to change the state of the TV (turn on/off, change channels). Assume that the valid channel range is from 1 to 120 (both inclusive).","#Step 1: Define the class
class TV1 :
    #Step 1.1: Initialize the state of the TV
    def __init__(self):
        self.__on = False
        self.__channel = 1   
    #Step 1.2: Define the methods to change the on/off state of the TV 
    def turn_on(self) :
        self.__on = True
    def turn_off(self) :
        self.__on = False
    #Step 1.3: Define the methods to change the channel of the TV 
    def set_channel(self, new_channel) :
        if self.__on and new_channel >= 1 and new_channel <= 120 :
            self.__channel = new_channel
    def channel_up(self) :
        if self.__on and self.__channel < 120 :
            self.__channel += 1
    def channel_down(self) :
        if self.__on and self.__channel > 1 :
            self.__channel -= 1
    #Step 1.4: Define the methods to get the current state of the TV 
    def get_channel(self) :
        return self.__channel
    def is_on(self) :
        return self.__on
#Step 2: Test the class
tv1 = TV1()
tv1.turn_on()
tv1.set_channel(30)
tv2 = TV1()
tv2.turn_on()
tv2.channel_up()
tv2.channel_up()
tv2.channel_down()
print(""tv1's channel is "" + str(tv1.get_channel()))
print(""tv2's channel is "" + str(tv2.get_channel()))",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=objects_classes_tv,"CallingObjectMethod,Printing,CallingLibraryFunction,CreatingObject,CreatingString,IfChecking,Concatenation,DefiningClass,TransformingToStringType,NestedFunctionCall,DefiningObjectMethod,AssigningValueVariable,Subtraction,Addition,BooleanEvaluating","int,str-or-num-add-op,return,str,__channel,turn_on,bool,channel_up,set_channel,typecast-str,variable-usage,class-obj-instantiate,conditional-and,compare-lessthan,assignment-with-sub,classmethod-or-function-call,variable-decl-or-assign,print-to-user,compare-greaterthan-equals,if,get_channel,numeric-or-string-or-collection-assignment,classdef,compare-lessthan-equals,functiondef,compare-greaterthan,num-sub-op,__on,assignment-with-add,channel_down"
PYTHON,objects_classes_tv,py_tv2,PCEX Challenge,"Construct a class that represents a TV. The class should contain data that represents the TV's state (power on or off, current volume level). The state of the TV could be accessed or changed only through the getter and setter methods. The class should also include methods to change the state of the TV (turn on/off, change volume level). Assume that the volume level is an integer and ranges from 1 to 7 (both inclusive).","#Step 1: Define the class
class TV2 :
    #Step 1.1: Initialize the state of the TV
    def __init__(self):
        self.__on = False
        self.__volume_level = 1   
    #Step 1.2: Define the methods to change the on/off state of the TV 
    def turn_on(self) :
        self.__on = True
    def turn_off(self) :
        self.__on = False
    #Step 1.3: Define the methods to change the volume level of the TV 
    def set_volume(self, new_volume_level) :
        if self.__on and new_volume_level >= 1 and new_volume_level <= 7 :
            self.__volume_level = new_volume_level
    def volume_up(self) :
        if self.__on and self.__volume_level < 7 :
            self.__volume_level += 1
    def volume_down(self) :
        if self.__on and self.__volume_level > 1 :
            self.__volume_level -= 1
    #Step 4: Define the methods to get the current state of the TV 
    def get_volume_level(self) :
        return self.__volume_level
    def is_on(self) :
        return self.__on
#Step 2: Test the class
tv1 = TV2()
tv1.turn_on()
tv1.set_volume(4)
tv1.set_volume(-1)
tv1.volume_down()
tv2 = TV2()
tv2.turn_on()
tv2.volume_up()
print(""tv1's volume level is "" + str(tv1.get_volume_level()))
print(""tv2's volume level is "" + str(tv2.get_volume_level()))",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=objects_classes_tv&ch=py_tv2,"CallingObjectMethod,Printing,CallingLibraryFunction,ChangingValueVariable,CreatingObject,CreatingString,IfChecking,Concatenation,DefiningClass,TransformingToStringType,NestedFunctionCall,DefiningObjectMethod,AssigningValueVariable,Subtraction,Addition,BooleanEvaluating","volume_down,int,volume_up,set_volume,str-or-num-add-op,__volume_level,get_volume_level,return,str,turn_on,bool,typecast-str,variable-usage,class-obj-instantiate,conditional-and,compare-lessthan,assignment-with-sub,classmethod-or-function-call,variable-decl-or-assign,print-to-user,compare-greaterthan-equals,unary-sub-op,if,numeric-or-string-or-collection-assignment,classdef,compare-lessthan-equals,functiondef,compare-greaterthan,num-sub-op,__on,assignment-with-add"
PYTHON,py_bmi_calculator,py_bmi_calculator1,PCEX Set,BMI is a measure of body fat based on height and weight that applies to adult men and women. BMI Categories are as follows:\nUnderweight = <18.5\nNormal weight = 18.5–24.9\nOverweight = 25–29.9\nObesity = BMI of 30 or greater.\nEnglish BMI Formula (Imperial) is: BMI = (Weight in Pounds / (Height in inches x Height in inches)) x 703.\nConstruct a program that calculates the Body Mass Index (BMI) according to this formula.,"#Step 1: Receive the weight and height from the user
text = input(""Enter the weight in pounds:"")
weight = float(text)
text = input(""Enter the height in inches:"")
height = float(text)
#Step 2: Calculate BMI
bmi = weight / height ** 2 * 703    
#Step 3: Print the result
print(""The BMI is:"", bmi)",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_bmi_calculator,"Power,Printing,CallingLibraryFunction,Division,Multiplication,AssigningValueVariable,HandlingInput,TransformingToFloatType","int,typecast-float,str,variable-decl-or-assign,print-to-user,num-div-op,pow,get-user-input,numeric-or-string-or-collection-assignment,variable-usage,num-mul-op"
PYTHON,py_bmi_calculator,py_bmi_calculator2,PCEX Challenge,BMI is a measure of body fat based on height and weight that applies to adult men and women. BMI Categories are as follows: \nUnderweight = <18.5\nNormal weight = 18.5–24.9\nOverweight = 25–29.9\nObesity = BMI of 30 or greater.\nEnglish BMI Formula (Imperial) is: BMI = (Weight in Pounds / (Height in inches x Height in inches)) x 703.\n BMI results are usually displayed as integers (values without decimal points). Construct a program to round the BMI result to the nearest integer.,"#Step 1: Receive the weight and height from the user
text = input(""Enter the weight in pounds:"")
weight = float(text)
text = input(""Enter the height in inches:"")
height = float(text)
#Step 2: Calculate BMI
bmi = weight / height ** 2 * 703    
#Step 3: Round up BMI
bmi = round(bmi)
#Step 4: Print results
print(""The BMI rounded to the nearest integer is:"", bmi)",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_bmi_calculator&ch=py_bmi_calculator2,"Power,Printing,CallingLibraryFunction,ChangingValueVariable,Round,Division,Multiplication,AssigningValueVariable,HandlingInput,TransformingToFloatType","int,typecast-float,str,variable-decl-or-assign,print-to-user,round-down,num-div-op,pow,get-user-input,numeric-or-string-or-collection-assignment,variable-usage,num-mul-op"
