set_id,set_name,item_name,item_type,item_language,item_tags,item_description,item_code,generated_kcs
664e50d091363872f0ba390d,py_if_else_wage,Calculating the Wage of an Employee at the Customer Service Call Center,challenge,PYTHON,,"Construct a program for the payment department of a company to calculate the wage of an employee who works at the customer service call center. Like other employees in the company, the employees at the customer service call center are paid based on the hours that they work. If they work over 40 hours in a week, the payment amount should take into account the overtime hours. The overtime hours are paid at a rate one and a half times the regular pay rate.\nThe company's policy is to pay more to those employees at the customer service call center who work during weekends. Therefore, the minimum extra pay that the employees could receive for each day of work during weekends is $30. The extra pay increases to the maximum of $50 for the employees who have at least 5 days of work during weekends.","#Step 1: Assign initial values to the variables which we need for this program
rate = 8.25 
standard = 40 
weekend_pay_min = 30 
weekend_pay_max = 50 
#Step 2: Read the input data
text = input(""Enter the number of hours that the employee has worked: "")
hours = int(text)
text = input(""Enter the number of days that the employee has worked during weekends: "")
no_weekend_days = int(text)
#Step 3: Pay overtime at ""time and a half"" of the regular rate of pay
if hours > standard :
    wage = standard * rate + ( hours-standard ) * ( rate * 1.5 )
else :
    wage = hours * rate
#Step 4: Take into account the extra pay for the work during weekends days
if no_weekend_days < 5 :
    wage += (no_weekend_days * weekend_pay_min)
else :
    wage += (no_weekend_days * weekend_pay_max)
#Step 5: Print the calculated wage
print(""Wage:"", wage)","['Multiplication operation', 'Addition operation', 'Greater-than comparison', 'If-else statement', 'Variable assignment', 'Input reading', 'Type conversion', 'Output printing', 'Integer usage', 'Float-point usage']"
664e504991363872f0ba38f0,py_list_min_max,Finding the Minimum Value in a List,challenge,PYTHON,,Write a program that finds the minimum value in a list.,"#Step 1: Define and initialize the list
values = [5, 8, 4, 78, 95, 12, 1, 0, 6, 35, 46]
#Step 2: Set the first value to be the minimum value so far.
min_value = values[0]
#Step 3: Iterate through the remaining values in the list and decide which one is the minimum value 
for i in range(1, len(values)): 
    # Step 3.1: Determine if the element at index i is the minimum value so far
    if (values[i] < min_value):
        min_value = values[i]
#Step 4: Print the minimum value in the list
print(""Minimum value:"", min_value)","['List initialization', 'Indexing operation', 'Variable assignment', 'For loop', 'Range function', 'Length function', 'Less-than comparison', 'If statement', 'Print function', 'String usage']"
664e502391363872f0ba38dd,py_f_to_c_conversion,Fahrenheit to Celsius Conversion,challenge,PYTHON,,Construct a program that computes the Celsius equivalent of an input Fahrenheit value using the formula C = (F - 32) (5/9). The input Fahrenheit value is an integer.,"#Step 1: Assign initial values to the variables which we need for this program
base = 32
conversion_factor = 5 / 9
#Step 2: Read the input Fahrenheit value
text = input(""Enter the Fahrenheit value: "")
fahrenheit_temp = int(text)
#Step 3: Compute the Celsius equivalent of the Fahrenheit value
celsius_temp = (fahrenheit_temp - base) * conversion_factor 
print(""Fahrenheit Temperature:"" , fahrenheit_temp)
print(""Celsius Equivalent:"" , celsius_temp)","['Subtraction operation', 'Multiplication operation', 'Division operation', 'Variable assignment', 'Input function usage', 'Type conversion', 'Print function usage', 'Integer usage', 'Float-point usage']"
664e500f91363872f0ba38d0,py_queue_queue,Solving Josephus Problem,challenge,PYTHON,,"Construct a program by using Queue structure to solve a Josephus problem. Josephus problem is a counting-out game. N people are in a circle, labeled as 1, 2, 3, … ,n. Given a skip number k, counting from the person labeled as 1, in every round, after k number of people are skipped, the next person will be counted out of the circle. Repeat the process with the remaining people until only one person remains. Then free the last one person. The program should return the last freed  person.","# Define a Queue Class
class Queue:
    # Initializing the queue
    def __init__(self):
        self.items = []
    # Adding elements to the queue
    def enqueue(self,item):
        self.items.insert(0,item)
    # Removing elements from the queue
    def dequeue(self):
        return self.items.pop()
    # Checking the size of the queue
    def size(self):
        return  len(self.items)
# Define a function to solve Josephus problem
def circle(k,name_list):
    q = Queue()
    for i in range(len(name_list)):
    # We are trying to store the elements from the name_list into the queue structure
        q.enqueue(name_list[i])
    i = 0
    while q.size() != 1:
    # We are trying to count each element till the kth element
        temp = q.dequeue()
        if i != k:
        # We need to restore the non-kth elements so the Kth element is out of the queue.
            q.enqueue(temp)
        else:
            i = 0
        i += 1
    return q.dequeue()
name_list = [""Lily"",""David"",""Susan"",""Julia"",""David"",""Brad""]
print(circle(7,name_list))","['Class definition', 'List usage', 'List insertion', 'List pop operation', 'For loop', 'While loop', 'If statement', 'Method call', 'Function definition', 'Return value', 'Function argument', 'Print statement']"
664e500891363872f0ba38c8,py_char_dict,Creating a Dictionary of Character-Words Pairs,challenge,PYTHON,,"Construct a program that has a function which receives a string and creates a dictionary that maps each character to the list of distinct words in the given string that start with that character. The dictionary should be case insensitive.\nFor example, if the given string is ""This is my test score"", the program creates the following dictionary:\nt : ['this', 'test']\ni : ['is']\nm : ['my']\ns : ['score']","#Step 1: Define the function
def create_dictionary(s):
    #Step 1.1: Create an empty dictionary
    res_dict = {}
    #Step 1.2: Split the given string into words
    s = s.lower()
    words = s.split()
    #Step 1.3: Update the dictionary entries as we iterate through the words
    for word in words:
        if word[0] in res_dict:
            if word not in res_dict[ word[0] ] :
                res_dict[ word[0] ].append(word)
        else:
            res_dict[ word[0] ] = [ word ]
    #Step 1.4: Print the dictionary
    for char in res_dict:
        print(char, "":"", res_dict[char])
#Step 2: Call the function
s = input(""Enter a string: "")
create_dictionary(s)","['Function definition', 'String method usage', 'String splitting', 'For loop', 'Dictionary key existence check', 'List append operation', 'List creation and assignment', 'Function call', 'Output operation', 'String indexing']"
664e4e3e91363872f0ba3885,py_phone_age,Determining When to Buy a New Phone (Case 2),challenge,PYTHON,,Construct a program that determines whether it is time to buy a new phone based on the inputs that it receives from the user. A new phone should be bought in either of the following cases:\nthe phone breaks\nthe screen has a problem\nthe phone has the random shutdown problem,"#Step 1: Read the user input for determining whether the phone is broken 
text = input(""Enter 1 if the phone is broken, otherwise enter 0:"")
input_num = int(text)
#Step 2: Determine whether the phone is broken
if input_num == 1 :
    is_broken = True
else:
    is_broken = False
#Step 3: Read the user input for determining whether the phone screen is good 
text = input(""Enter 1 if the phone screen is good, otherwise enter 0:"")
input_num = int(text)
#Step 4: Determine whether the phone screen is good
if input_num == 1 :
    screen_is_good = True
else:
    screen_is_good = False
#Step 5: Read the user input for determining whether the phone has random shutdown problem 
text = input(""Enter 1 if the phone has the random shutdown problem, otherwise enter 0:"")
input_num = int(text)
#Step 6: Determine whether the phone has random shutdown problem
if input_num == 1 :
    random_shutdown = True
else:
    random_shutdown = False
#Step 7: Write the boolean expression to determine whether it is time to buy a new phone
need_phone = is_broken or not screen_is_good or random_shutdown
#Step 8: Print the result
if need_phone == True :
    print(""Yes! It is time to buy a new phone."")
else:
    print(""No! It is not yet the time to buy a new phone."")","['User input', 'Type conversion', 'If-else statement', 'Boolean variable usage', 'Logical operators', 'Output printing', 'Equality comparison']"
664e4dc691363872f0ba3851,py_list_change,Modifying a List (Case 2),challenge,PYTHON,,"Construct a program that swaps pairs of adjacent elements of the list. For example, if the list is [1, 2, 3, 4, 5, 6], the program will change it to [2, 1, 4, 3, 6, 5].\nThis program assumes that the list has always an even number of elements.","#Step 1: Define and initialize the list
lst = [1, 2, 3, 4, 5, 6]
#Step 2: Iterate through the pairs of adjacent elements in the list
for i in range(0, len(lst), 2):
    #Step 2.1: Swap the element at index i with the element at index i+1
    temp = lst[i]
    lst[i] = lst[i+1]
    lst[i+1] = temp
#Step 3: Print the list
print(lst)","['Range function with step', 'List indexing', 'Temporary variable usage', 'List element assignment', 'Print function', 'For loop']"
664e4dbf91363872f0ba3849,py_nestedloops_print_a_square_star_pattern,Printing the outline of a square star pattern,challenge,PYTHON,,"Construct a program that takes an input as the size of a square and print the outline of the square.\nFor example, if a user’s input is 4, the printed square should look like:\n****\n*  *\n*  *\n****","# Step 1: Read the size of the square star pattern
size = int(input(""Enter size of side of square :""))
# Step 2: Print the rows in the star pattern, one by one
for i in range(size):
    # Step 2.1: Check if the current row is the first or the last one
    if i == 0 or i == size - 1:
        for k in range(size):
            print(""*"", end = """")
    else:
        print(""*"", end = """")
        # Step 2.2: Print other rows pattern.
        for j in range(size - 2):
            print("" "", end = """")
        print(""*"", end="""")
    # Step 3: Print the next line
    print()","['Input function', 'Type conversion', 'For loop', 'Range function', 'If statement', 'Equality comparison', 'Print function', 'Print function end parameter', 'String usage']"
664e4c8991363872f0ba3821,py_stack_stack,Stack,challenge,PYTHON,," Implementing Stack. Using Class to construct a Stack. Implement a function to determine if all the given brackets are paired.\nFor example:\n       paired brackets list:['[','{','(','{','}',')','}',']’] ; unpaired brackets list:['{',']','(','{','}',')','}',']']","# Define a Stack Class
class Stack:
# Initializing the stack
    def __init__(self):
        self.items = []
    # Checking if the stack is empty
    def is_empty(self):
        return len(self.items) == 0
    # Adding elements to the stack
    def push(self, item):
        self.items.append(item)
    # Removing the elements from the stack
    def pop(self):
        return self.items.pop()
    # Checking the element in the stack
    def peek(self):
        return self.items[- 1]
# Checking the if the brackets are matched
def match(bracket):
    left =['(','[','{']
    right={')',']','}'}
    s=Stack()
    for brackets in bracket:
        if brackets in left:
            # We try to store the current bracket in the stack if it is the left one
            s.push(brackets)
        elif brackets in right:
            if s.is_empty():
                return False
            if 1 <= ord(brackets) - ord(s.peek()) <= 2:
                # We try to empty the stack if any right bracket matches a left bracket in the stack.
                s.pop()
    return s.is_empty()
expr1=['[','{','(','{','}',')','}',']']
expr2=['{','[','}','(',')']
print(match(expr1))
print(match(expr2))","['Class definition', 'Constructor method', 'List append operation', 'List pop operation', 'List emptiness check', 'List indexing', 'For loop', 'If statement', 'Set usage', 'Character ASCII value', 'Function call', 'Return value', 'List usage']"
664e4c5791363872f0ba380e,py_temperature,Displaying the Days That are Above 32 Degrees Fahrenheit,challenge,PYTHON,,Construct a program that reads a series of temperatures and reports the days that are above 32 degrees Fahrenheit. Assume that the temperature values are in Fahrenheit. Also assume that input values could have a decimal point.,"#Step 1: Read the number of days that we have to enter their temperature data
num_days = int(input(""Enter the number of temperature values that will be entered: ""))
#Step 2: Read the temperature values
temps = []
for i in range(num_days):
    val = float(input(""Enter the temperature: ""))
    temps.append(val)
#Step 3: Create a list that contains the days that are above 32 degrees Fahrenheit
days_above_32 = []
for i in range(len(temps)) :
    if temps[i] > 32:
        days_above_32.append(""Day "" + str(i+1))
#Step 4: Print the result
print(""Days above 32 degrees Fahrenheit:"", days_above_32)","['Input reading', 'Integer conversion', 'Float conversion', 'For loop', 'List appending', 'Greater-than comparison', 'String concatenation', 'List usage', 'Output printing', 'If statement']"
