set_id,set_name,item_name,item_type,item_language,item_tags,item_description,item_code,generated_kcs
664e50d091363872f0ba390d,py_if_else_wage,Calculating the Employee's Wage Based on the Hours That the Employee Has Worked and an Hourly Pay Rate,example,PYTHON,,"Construct a program for the payment department of a company to calculate the wage of an employee based on the number of hours that the employee has worked. If an employee works over 40 hours in a week, the payment amount should take into account the overtime hours. The overtime hours are paid at a rate one and a half times the regular pay rate.","#Step 1: Assign initial values to the variables which we need for this program
rate = 8.25 
standard = 40 
#Step 2: Read the number of hours that the employee has worked
text = input(""Enter the number of hours that the employee has worked: "")
hours = int(text)
#Step 3: Pay overtime at ""time and a half"" of the regular rate of pay
if hours > standard : 
    wage = standard * rate + ( hours - standard ) * ( rate * 1.5 )
else :
    wage = hours * rate
#Step 4: Print the calculated wage
print(""Wage:"", wage)","['Variable assignment', 'Input function', 'Type conversion', 'If-else statement', 'Arithmetic operations', 'Output function', 'Comparison operators', 'Multiplication operation', 'Subtraction operation']"
664e504991363872f0ba38f0,py_list_min_max,Finding the Maximum Value in a List,example,PYTHON,,Write a program that finds the maximum value in a list.,"#Step 1: Define and initialize the list
values = [5, 8, 4, 78, 95, 12, 1, 0, 6, 35, 46]
#Step 2: Set the first value to be the maximum value so far.
max_value = values[0]
#Step 3: Iterate through the remaining values in the list and decide which one is the maximum value 
for i in range(1, len(values)): 
    # Step 3.1: Determine if the element at index i is the maximum value so far
    if (values[i] > max_value):
        max_value = values[i]
#Step 4: Print the maximum value in the list
print(""Maximum value:"", max_value)","['Indexing operation', 'For loop', 'Greater-than comparison', 'Variable assignment', 'If statement', 'Function call', 'List initialization', 'Range function usage', 'Integer usage']"
664e502391363872f0ba38dd,py_f_to_c_conversion,Celsius To Fahrenheit Conversion,example,PYTHON,,Construct a program that computes the Fahrenheit equivalent of an input Celsius value using the formula F = (9/5)C + 32. The input Celsius value is an integer.,"#Step 1: Assign initial values to the variables which we need for this program
base = 32
conversion_factor = 9 / 5
#Step 2: Read the input Celsius value
text = input(""Enter the Celsius value: "")
celsius_temp = int(text)
#Step 3: Compute the  Fahrenheit equivalent of the Celsius value
fahrenheit_temp = celsius_temp * conversion_factor + base
print(""Celsius Temperature:"" , celsius_temp)
print(""Fahrenheit Equivalent:"" , fahrenheit_temp)","['Multiplication operation', 'Addition operation', 'Division operation', 'Variable assignment', 'Input operation', 'Type conversion', 'Output operation', 'Integer usage']"
664e500f91363872f0ba38d0,py_queue_queue,Queue Implementation,example,PYTHON,,Implementing Queue. Using Class to construct a Queue structure.,"# Define a Queue Class
class Queue:
    # Initializing the queue
    def __init__(self):
        self.items =[]
    # Adding elements to the queue
    def enqueue(self, item):
        self.items.insert(0,item)
    # Removing elements to the queue
    def dequeue(self):
        return self.items.pop(0)
    # Returning the queue as a string
    def __str__(self):
        return str(self.items)
q=Queue()
q.enqueue('cat')
q.enqueue(3)
print(q.dequeue())
print(q)","['Class definition', 'Constructor method', 'List usage', 'List insertion', 'List removal', 'String representation method', 'Object instantiation', 'Method invocation', 'Output operation']"
664e500891363872f0ba38c8,py_char_dict,Creating a Dictionary of Character-Count Pairs,example,PYTHON,,"Construct a program that has a function which receives a string from the user and creates a dictionary that maps each character in the given string to its frequency, that is, how many times that character appears in the given string.\nFor example, if the given string is ""book"", the program creates the following dictionary:\nb : 1\no : 2\nk : 1","#Step 1: Define the function
def create_dictionary(s):
    #Step 1.1: Create an empty dictionary 
    counts = {}
    #Step 1.2: Update the dictionary entries as we iterate through the string characters
    for char in s:
        if char in counts:
            counts[char] += 1 
        else:
            counts[char] = 1
    #Step 1.3: Print the dictionary
    print(""The character counts for"", s)
    for char in counts:
        print(char, "":"", counts[char])
#Step 2: Call the function
s = input(""Enter a string: "")
create_dictionary(s)","['Function definition', 'Dictionary usage', 'For loop', 'If statement', 'Membership test', 'Variable assignment', 'Function call', 'String usage', 'Output operation']"
664e4e3e91363872f0ba3885,py_phone_age,Determining When to Buy a New Phone (Case 1),example,PYTHON,,Construct a program that determines whether it is time to buy a new phone based on the inputs that it receives from the user. A new phone should be bought if the phone breaks or the phone is at least 3 years old.,"#Step 1: Read the user inputs
text = input(""Enter the phone age in years:"")
phone_age = int(text)
text = input(""Enter 1 if the phone is broken, otherwise enter 0:"")
input_num = int(text)
#Step 2: Determine whether the phone is broken
if input_num == 1 :
    is_broken = True
else:
    is_broken = False
#Step 3: Write the boolean expression to determine whether it is time to buy a new phone
need_phone = is_broken or phone_age >= 3
#Step 4: Print the result
if need_phone == True :
    print(""Yes! It is time to buy a new phone."")
else:
    print(""No! It is not yet the time to buy a new phone."")","['User input', 'String to integer conversion', 'If-else statement', 'Boolean variable usage', 'Logical OR operation', 'Greater-than-or-equal-to comparison', 'Output printing']"
664e4dc691363872f0ba3851,py_list_change,Modifying a List (Case 1),example,PYTHON,,Construct a program that increments all values of the list by 1.,"#Step 1: Define and initialize the list
lst = [1, 2, 3, 4, 5, 6]
#Step 2: Iterate through the list elements 
for i in range(len(lst)):
    #Step 2.1: Increment the element at index i by 1
    lst[i] += 1
#Step 3: Print the list
print(lst)","['List initialization', 'For loop', 'Range function', 'Indexing operation', 'Addition assignment', 'Print function']"
664e4dbf91363872f0ba3849,py_nestedloops_print_a_square_star_pattern,Printing a square star pattern,example,PYTHON,,"Construct a program that takes an input as the size of a solid square  and print the square.\nFor example, if a user’s input is 4, the printed solid square should look like:\n****\n****\n****\n****","# Step 1: Read the size of the square star pattern
size = int(input(""Enter size of side of square :""))
# Step 2: Print the rows in the star pattern, one by one
for i in range(size):
    # Step 2.1: Generate the asterisks in the corresponding row
    for j in range(size):
        # Step 2.2: Print the asterisks in each row
        print(""*"", end = """")
    # Step 3: Print the next line
    print()","['Input function', 'Type conversion', 'For loop', 'Range function', 'Print with end parameter', 'Print newline', 'Nested loops', 'String usage']"
664e4c8991363872f0ba3821,py_stack_stack,Stack,example,PYTHON,,Implementing Stack. Using Class to construct a Stack structure.,"# Define a Stack Class
class Stack:
# Initializing the stack
    def __init__(self):
        self.items = []
    # Checking if the stack is empty
    def is_empty(self):
        return len(self.items) == 0
    # Adding elements to the stack
    def push(self, item):
        self.items.append(item)
    # Removing the elements from the stack
    def pop(self):
        return self.items.pop()
    # Checking the element in the stack
    def peek(self):
        return self.items[- 1]
# Checking the if the brackets are matched
def match(bracket):
    left =['(','[','{']
    right={')',']','}'}
    s=Stack()
    for brackets in bracket:
        if brackets in left:
            # We try to store the current bracket in the stack if it is the left one
            s.push(brackets)
        elif brackets in right:
            if s.is_empty():
                return False
            if 1 <= ord(brackets) - ord(s.peek()) <= 2:
                # We try to empty the stack if any right bracket matches a left bracket in the stack.
                s.pop()
    return s.is_empty()
expr1=['[','{','(','{','}',')','}',']']
expr2=['{','[','}','(',')']
print(match(expr1))
print(match(expr2))","['Class definition', 'Constructor method', 'List usage', 'List append method', 'List pop method', 'List length check', 'List indexing', 'Set usage', 'For loop', 'If statement', 'Character comparison', 'Method call', 'Return statement', 'Print function']"
664e4c5791363872f0ba380e,py_temperature,Finding the Number of Days Above the Average Temperature,example,PYTHON,,Construct a program that reads a series of temperatures and reports the average temperature and the number of the days that are above the average. Assume that the input values could have a decimal point.,"#Step 1: Read the number of days that we have to enter their temperature data
num_days = int(input(""Enter the number of temperature values that will be entered: ""))
#Step 2: Read the temperature values
temps = []
total = 0
for i in range(num_days):
    val = float(input(""Enter the temperature: ""))
    temps.append(val)
    total += val
#Step 3: Calculate the average temperature
average = 0
if num_days == 0:
    print(""No temperature values were entered."")
else:
    average = total / num_days
#Step 4: Count the number of the days that are above the average temperature
above = 0
for x in temps:
    if x > average:
        above += 1
#Step 5: Display the results
print(""Average temperature:"", average)
print(above, ""days above average."")","['Input function', 'Integer conversion', 'Float conversion', 'List usage', 'List append', 'For loop', 'If statement', 'Addition operation', 'Division operation', 'Greater-than comparison', 'Print function', 'Variable assignment']"
664e4c2d91363872f0ba3805,py_squares,Printing the Squares of Numbers Within a Specified Range (Case 1) ,example,PYTHON,,Construct a program to write out the squares of even positive integers less than or equal to 10.,"#Step 1: Iterate through the numbers in the sequence
for num in range(2, 11, 2):
    #Step 1.1: Square and print each number in the sequence
    print(num, ""squared ="", num * num)","['For loop', 'Range function', 'Multiplication operation', 'Function call', 'String usage', 'Integer usage']"
